,remote_ip,http_referer,hostname,timestamp,bytes_sent,request_time,request_status,city,country,lat,long,http_operation,http_url,protocol,browser,os,device,aux_kodi_type,aux_kodi_item
2021-05-03 00:52:16+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:16+01:00,154,0.067,400,London,United Kingdom,51.5095,-0.0955,GET,/config.json,HTTP/1.1,Other,Other,Other,,
2021-05-03 00:52:17+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:17+01:00,154,0.058,400,London,United Kingdom,51.5095,-0.0955,GET,/.env,HTTP/1.1,Other,Other,Other,,
2021-05-03 00:52:18+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:18+01:00,154,0.088,400,London,United Kingdom,51.5095,-0.0955,GET,/api/search?folderIds=0,HTTP/1.1,Other,Other,Other,,
2021-05-03 00:52:20+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:20+01:00,154,0.08,400,London,United Kingdom,51.5095,-0.0955,GET,/server-status,HTTP/1.1,Other,Other,Other,,
2021-05-03 00:52:21+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:21+01:00,154,0.048,400,London,United Kingdom,51.5095,-0.0955,GET,/v2/_catalog,HTTP/1.1,Other,Other,Other,,
2021-05-03 00:52:22+01:00,139.162.220.90,-,188.141.112.162,2021-05-03 00:52:22+01:00,154,0.085,400,London,United Kingdom,51.5095,-0.0955,GET,/.git/config,HTTP/1.1,Other,Other,Other,,
2021-05-03 01:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-03 01:01:33+01:00,0,0.027,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-03 01:16:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-03 01:16:33+01:00,0,0.026,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-03 01:31:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-03 01:31:33+01:00,0,0.032,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-03 01:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-03 01:46:33+01:00,0,0.056,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-03 02:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-03 02:01:33+01:00,0,0.024,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
